INFO    | main | 05-Jan-2021 Tuesday MST 01:02:09 | (ConsoleMenu.java:156) | com.bagonationalbank.app.main.ConsoleMenuMain - Please Enter Amount to Deposit: 
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:23 | (ConsoleMenu.java:167) | com.bagonationalbank.app.main.ConsoleMenuMain - $200 was successfully deposited into account 1.
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:23 | (ConsoleMenu.java:86) | com.bagonationalbank.app.main.ConsoleMenuMain - 
WELCOME Bob Dillon!
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:23 | (ConsoleMenu.java:87) | com.bagonationalbank.app.main.ConsoleMenuMain - =*=*=*=*=*=*=*=*=*=*=*=*
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:23 | (ConsoleMenu.java:91) | com.bagonationalbank.app.main.ConsoleMenuMain - 
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:23 | (ConsoleMenu.java:92) | com.bagonationalbank.app.main.ConsoleMenuMain - What would you like to do today?
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:23 | (ConsoleMenu.java:93) | com.bagonationalbank.app.main.ConsoleMenuMain - --------------------------------
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:23 | (ConsoleMenu.java:94) | com.bagonationalbank.app.main.ConsoleMenuMain - 1) View Acount Balance
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:23 | (ConsoleMenu.java:95) | com.bagonationalbank.app.main.ConsoleMenuMain - 2) Deposit Funds
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:23 | (ConsoleMenu.java:96) | com.bagonationalbank.app.main.ConsoleMenuMain - 3) Withdraw Funds
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:23 | (ConsoleMenu.java:97) | com.bagonationalbank.app.main.ConsoleMenuMain - 4) Transfer Funds
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:23 | (ConsoleMenu.java:98) | com.bagonationalbank.app.main.ConsoleMenuMain - 5) EXIT
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:23 | (ConsoleMenu.java:99) | com.bagonationalbank.app.main.ConsoleMenuMain - Please enter an appropriate choice between 1-5
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:30 | (ConsoleMenu.java:123) | com.bagonationalbank.app.main.ConsoleMenuMain - 
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:30 | (ConsoleMenu.java:124) | com.bagonationalbank.app.main.ConsoleMenuMain - ACCOUNT DETAILS
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:30 | (ConsoleMenu.java:125) | com.bagonationalbank.app.main.ConsoleMenuMain - ------------------
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:30 | (ConsoleMenu.java:129) | com.bagonationalbank.app.main.ConsoleMenuMain - Account ID: 1 ** Type: savings ** Balance: $754.69
INFO    | main | 05-Jan-2021 Tuesday MST 01:02:30 | (ConsoleMenu.java:86) | com.bagonationalbank.app.main.ConsoleMenuMain - 
WELCOME Bob Dillon!
